Indicators,Dec '25,Sep '25,Jun '25,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19
Net Sales/Income from operations,"53,981","52,145","49,462","47,876","45,129","41,473","38,506","37,599","37,899","37,043","37,440","36,009","35,804","34,526","32,804","31,500","29,866","28,326","26,853","25,747","26,517","25,785","23,938","23,722","21,947"
Total Income From Operations,"53,981","52,145","49,462","47,876","45,129","41,473","38,506","37,599","37,899","37,043","37,440","36,009","35,804","34,526","32,804","31,500","29,866","28,326","26,853","25,747","26,517","25,785","23,938","23,722","21,947"
Employees Cost,"1,958","1,857","1,738","1,831","1,608","1,496","1,372","1,363","1,323","1,379","1,257","1,263","1,235","1,208","1,123","1,164","1,133","1,101","1,034",998,"1,026","1,100","1,156","1,031",965
Depreciation,"13,420","13,182","12,465","12,326","11,704","11,000","10,540","10,075","10,074","9,734","9,653","9,405","9,297","8,946","8,781","8,582","8,547","8,247","7,713","7,501","7,503","7,421","7,226","7,055","6,940"
Admin. And Selling Expenses,"3,426","3,182","2,965","2,935","2,926","2,882","2,715","2,066","2,047","1,959","2,059","1,984","1,911","1,782","1,566","1,532","1,442","1,267","1,061","1,148","1,052",874,730,935,900
Other Expenses,"17,813","17,544","16,920","16,100","15,998","15,248","14,710","14,803","14,714","14,192","14,524","14,064","14,204","13,942","13,584","12,763","12,587","12,147","10,727","11,268","12,386","12,167","11,644","11,407","10,531"
P/L Before Other Inc.,"17,362","16,379","15,373","14,682","12,892","10,846","9,167","9,289","9,740","9,779","9,944","9,291","9,155","8,647","7,748","7,457","6,155","5,563","6,317","4,830","4,549","4,220","3,181","3,293","2,609"
Other Income,702,727,508,485,469,254,363,316,439,330,348,284,257,201,192,18,197,108,209,83,49,148,480,99,74
P/L Before Int.,"18,065","17,107","15,882","15,168","13,362","11,100","9,531","9,606","10,180","10,109","10,293","9,576","9,413","8,848","7,940","7,476","6,352","5,672","6,526","4,913","4,599","4,369","3,661","3,392","2,684"
Interest,"5,623","4,865","5,460","5,502","5,675","5,423","5,152","5,203","6,644","5,185","5,613","5,163","4,685","4,940","4,510","4,059","4,367","3,964","4,225","3,860","3,971","3,760","3,456","3,307","2,984"
P/L Before Exceptional Items & Tax,"12,441","12,241","10,421","9,666","7,686","5,677","4,378","4,403","3,535","4,924","4,679","4,413","4,727","3,908","3,429","3,417","1,985","1,708","2,301","1,053,627",609,205,85,-300,-938
Exceptional Items,-256,--,--,-140,"7,545",-853,735,"-2,455",-130,"-1,570","-3,416",--,-669,--,--,906,39,722,-30,440,"-4,559",-49,"-11,745","-7,004","-1,050"
P/L Before Tax,"12,185","12,241","10,421","9,526","15,232","4,823","5,113","1,947","3,405","3,353","1,263","4,413","4,057","3,908","3,429","4,323","2,025","2,430","2,270","1,493","-3,932",560,"-11,540","-6,919","-1,350"
Tax,"3,798","3,671","3,082","-2,891",757,"1,744","1,307",709,"1,232","1,846",332,788,"1,075","1,286","1,123","1,321",990,"1,030",834,510,"4,306",551,"3,817","-2,033","-1,037"
P/L After Tax from Ordinary Activities,"8,386","8,569","7,339","12,418","14,474","3,079","3,805","1,237","2,173","1,507,930","3,625","2,982","2,622","2,306","3,001","1,034","1,399","1,436",983,"-8,239",8,"-15,357","-4,885",-312,"-23,145"
Net Profit/(Loss) For the Period,"8,386","8,569","7,339","12,418","14,474","3,079","3,805","1,237","2,173","1,507,930","3,625","2,982","2,622","2,306","3,001","1,034","1,399","1,436",983,"1,570",8,"-15,357","-4,885",-312,"-23,145"
Minority Interest,"-1,872","-1,859","-1,473","-1,454","-1,353",-560,-557,3,-434,-752,92,"-1,220","-1,025",-833,-861,"-1,707",-821,-864,-657,-751,-496,-729,-741,-260,-570
Share Of P/L Of Associates,116,81,82,57,"1,659","1,073",911,830,703,586,589,601,-368,356,162,713,616,598,-494,527,-220,-42,166,-91,-152
Net P/L After M.I & Associates,"6,630","6,791","5,947","11,021","14,781","3,593","4,159","2,071","2,442","1,340","1,612","3,005","1,588","2,145","1,606","2,007",829,"1,134",283,759,853,-763,"-15,933","-5,237","-1,035"
Equity Share Capital,"2,900","2,900","2,900","2,900","2,897","2,895","2,894","2,876","2,861","2,857","2,839","2,836","2,831","2,830","2,795","2,795","2,795","2,746","2,746","2,746","2,727","2,727","2,727","2,727","2,566"
Reserves Excluding Revaluation Reserves,"121,894","114,895","116,823","110,771","100,610","84,201","85,412","79,142","76,223","74,626","74,027","74,726","71,288","70,022","65,358","63,759","63,068","57,441","56,457","56,206","56,979","56,611","58,262","74,417","66,262"
Basic EPS,11.44,11.72,10.26,19.02,25.54,6.21,7.21,3.61,4.27,2.36,2.84,5.3,2.81,3.8,2.88,3.59,1.49,2.06,0.52,1.39,1.57,-1.4,-29.22,-9.69,-2.02
Diluted EPS,11.02,11.3,9.9,18.38,24.65,6.2,6.98,3.51,4.17,2.21,2.79,5.19,2.76,3.75,2.84,3.55,1.48,2.06,0.52,1.39,1.57,-1.4,-29.22,-9.69,-2.02
