Indicators,Dec '25,Sep '25,Jun '25,Mar '25,Dec '24,Sep '24,Jun '24,Mar '24,Dec '23,Sep '23,Jun '23,Mar '23,Dec '22,Sep '22,Jun '22,Mar '22,Dec '21,Sep '21,Jun '21,Mar '21,Dec '20,Sep '20,Jun '20,Mar '20,Dec '19
Net Sales/Income from operations,52099,46105,45529,42599,41470,37923,37217,35451,35299,34435,33891,32365,30620,29870,28412,25934,23594,21469,19171,21455,21625,23566,16321,20182,25019
Total Income From Operations,52099,46105,45529,42599,41470,37923,37217,35451,35299,34435,33891,32365,30620,29870,28412,25934,23594,21469,19171,21455,21625,23566,16321,20182,25019
Consumption of Raw Materials,27816,27886,26710,25172,21699,21431,19806,19784,19470,20508,18084,18696,16159,17962,15659,13484,11131,11426,10222,11232,10026,11393,5874,9107,11137
Purchase of Traded Goods,2222,2044,2066,1855,2019,1945,1823,1575,1948,1891,1806,1981,1953,1837,1769,2084,1517,1656,1140,1794,1493,1722,1113,1701,1827
Increase/Decrease in Stocks,2107,-1821,-442,-1258,1409,-694,531,-675,103,-1467,584,-1035,317,-1376,62,94,1126,-1130,-951,-1462,57,17,1675,-357,1227
Employees Cost,3335,3111,3044,2909,2882,2655,2678,2639,2686,2715,2583,2587,2461,2381,2247,2086,2160,2029,2109,1998,2039,2594,2501,2510,2897
Depreciation,2162,1668,1547,2028,1495,1301,1247,1335,1122,1138,1127,1194,1110,1091,960,935,919,851,801,850,847,1192,1163,1202,1614
Exp. Capitalised,,,,,,,,,,,,,,-59,-45,,,,,-34,-36,-56,,,
Other Expenses,6510,5955,5921,6009,5227,5452,5134,5524,4867,5057,4586,4568,4475,4055,4322,3906,3131,2596,5663,4044,4524,4052,3433,4806,4525
P/L Before Other Inc.,7943,7260,6680,5882,6735,5831,5995,5268,5101,4590,5118,4373,4142,3976,3436,3342,3607,4039,185,3034,2674,2650,560,1211,1790
Other Income,858,675,916,701,411,659,408,355,510,591,807,483,299,206,216,281,191,266,196,314,241,284,198,317,283
P/L Before Int.,8802,7935,7597,6583,7146,6490,6404,5624,5611,5182,5925,4857,4442,4183,3652,3623,3798,4306,382,3348,2916,2935,759,1529,2073
Interest,2405,2347,2431,2396,2362,2217,2107,1989,1944,1835,1718,1633,1595,1381,1218,1222,1211,1284,1300,1402,1516,1600,1608,1575,1537
P/L Before Exceptional Items & Tax,6396,5588,5165,4187,4784,4273,4296,3635,3667,3347,4206,3223,2846,2801,2433,2401,2587,3021,-918,1945,1399,1335,-848,-46,535
Exceptional Items,-292,,,,,,,,,,,31,493,706,17,293,205,-36,-48,-320,-146,-770,765,-1782,-9
P/L Before Tax,6103,5588,5165,4187,4784,4273,4296,3635,3667,3347,4206,3255,3340,3507,2451,2695,2792,2985,-966,1625,1253,565,-83,-1829,526
Tax,1547,2094,1267,1084,1467,1378,1075,905,935,1083,784,493,737,921,533,647,725,953,-217,342,527,661,113,-6,696
P/L After Tax from Ordinary Activities,4556,3494,3898,3102,3317,2894,3221,2730,2731,2263,3422,2762,2602,2585,1918,2047,2066,2031,-748,1282,725,-96,-196,-1822,-170
Net Profit/(Loss) For the Period,4556,3494,3898,3102,3317,2894,3221,2730,2731,2263,3422,2762,2602,2585,1918,2047,2066,2031,-748,797,-272,-96,-196,-1822,-170
Minority Interest,-346,-290,-293,-246,-443,-190,-263,-370,-318,-136,-175,-361,-317,-248,-165,-370,-497,-562,755,-79,544,-12,-152,419,29
Share Of P/L Of Associates,464,469,478,439,307,466,324,394,245,220,261,236,391,435,442,560,418,459,416,352,432,244,251,68,341
Net P/L After M.I & Associates,4674,3673,4083,3295,3180,3170,3282,2754,2658,2347,3508,2636,2676,2772,2195,2237,1987,1928,423,1070,704,135,-97,-1334,199
Equity Share Capital,558,558,558,558,557,557,557,557,557,557,556,556,556,556,556,556,555,555,555,555,554,554,554,554,554
EPS Before Extra Ordinary - Basic,41.85,32.9,36.58,29.52,28.51,28.43,29.44,24.71,23.86,21.07,31.5,23.68,24.05,24.93,19.74,20.13,17.89,17.35,-3.82,9.64,6.35,1.22,-0.88,-12.04,1.8
EPS Before Extra Ordinary - Diluted,41.69,32.51,36.43,29.04,28.4,28.31,29.32,24.61,23.76,20.99,31.37,23.58,23.94,24.8,19.65,20,17.79,17.26,-3.78,9.55,6.3,1.18,-0.9,-12.04,1.8
